STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,OBS_VALUE,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,URY,WB_WDI_SL_UEM_TOTL_NE_ZS,_T,_T,_T,PT_LF,_Z,_Z,_Z,1999,10.466,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Uruguay,"Unemployment, total (% of total labor force) (national estimate)",Total,All age ranges or no breakdown by age,Total,Percentage of labor force,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VNM,WB_WDI_SL_UEM_TOTL_NE_ZS,_T,_T,_T,PT_LF,_Z,_Z,_Z,1999,2.329,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Vietnam,"Unemployment, total (% of total labor force) (national estimate)",Total,All age ranges or no breakdown by age,Total,Percentage of labor force,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,YEM,WB_WDI_SL_UEM_TOTL_NE_ZS,_T,_T,_T,PT_LF,_Z,_Z,_Z,1999,11.464,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,"Yemen, Rep.","Unemployment, total (% of total labor force) (national estimate)",Total,All age ranges or no breakdown by age,Total,Percentage of labor force,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_SL_UEM_TOTL_NE_ZS,_T,_T,_T,PT_LF,_Z,_Z,_Z,1999,6.0,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Zimbabwe,"Unemployment, total (% of total labor force) (national estimate)",Total,All age ranges or no breakdown by age,Total,Percentage of labor force,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CEB,WB_WDI_SL_UEM_TOTL_NE_ZS,_T,_T,_T,PT_LF,_Z,_Z,_Z,2000,12.149369732100538,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Central Europe and the Baltics,"Unemployment, total (% of total labor force) (national estimate)",Total,All age ranges or no breakdown by age,Total,Percentage of labor force,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAR,WB_WDI_SL_UEM_TOTL_NE_ZS,_T,_T,_T,PT_LF,_Z,_Z,_Z,2000,5.208005657065272,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Early-demographic dividend,"Unemployment, total (% of total labor force) (national estimate)",Total,All age ranges or no breakdown by age,Total,Percentage of labor force,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFW,WB_WDI_SL_UEM_TOTL_NE_ZS,_T,_T,_T,PT_LF,_Z,_Z,_Z,2017,7.240083685061895,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Western & Central Africa,"Unemployment, total (% of total labor force) (national estimate)",Total,All age ranges or no breakdown by age,Total,Percentage of labor force,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CEB,WB_WDI_SL_UEM_TOTL_NE_ZS,_T,_T,_T,PT_LF,_Z,_Z,_Z,2017,5.277190008437695,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Central Europe and the Baltics,"Unemployment, total (% of total labor force) (national estimate)",Total,All age ranges or no breakdown by age,Total,Percentage of labor force,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAS,WB_WDI_SL_UEM_TOTL_NE_ZS,_T,_T,_T,PT_LF,_Z,_Z,_Z,2017,3.4425686504530346,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,East Asia & Pacific,"Unemployment, total (% of total labor force) (national estimate)",Total,All age ranges or no breakdown by age,Total,Percentage of labor force,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAP,WB_WDI_SL_UEM_TOTL_NE_ZS,_T,_T,_T,PT_LF,_Z,_Z,_Z,2017,3.4401039664753204,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,East Asia & Pacific (excluding high income),"Unemployment, total (% of total labor force) (national estimate)",Total,All age ranges or no breakdown by age,Total,Percentage of labor force,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,TEA,WB_WDI_SL_UEM_TOTL_NE_ZS,_T,_T,_T,PT_LF,_Z,_Z,_Z,2017,3.4401039664753204,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,East Asia & Pacific (IDA & IBRD),"Unemployment, total (% of total labor force) (national estimate)",Total,All age ranges or no breakdown by age,Total,Percentage of labor force,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EMU,WB_WDI_SL_UEM_TOTL_NE_ZS,_T,_T,_T,PT_LF,_Z,_Z,_Z,2017,9.068480856452833,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Euro area,"Unemployment, total (% of total labor force) (national estimate)",Total,All age ranges or no breakdown by age,Total,Percentage of labor force,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ECS,WB_WDI_SL_UEM_TOTL_NE_ZS,_T,_T,_T,PT_LF,_Z,_Z,_Z,2017,7.496293506085951,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Europe & Central Asia,"Unemployment, total (% of total labor force) (national estimate)",Total,All age ranges or no breakdown by age,Total,Percentage of labor force,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_SL_UEM_TOTL_NE_ZS,_T,_T,_T,PT_LF,_Z,_Z,_Z,2017,4.529,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Zambia,"Unemployment, total (% of total labor force) (national estimate)",Total,All age ranges or no breakdown by age,Total,Percentage of labor force,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CEB,WB_WDI_SL_UEM_TOTL_NE_ZS,_T,_T,_T,PT_LF,_Z,_Z,_Z,2018,4.294834457537747,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Central Europe and the Baltics,"Unemployment, total (% of total labor force) (national estimate)",Total,All age ranges or no breakdown by age,Total,Percentage of labor force,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
